
linenumber,a,e,i,o,u,
1,3,8,2,4,1,
2,4,6,3,7,1,
3,5,4,5,7,1,
4,0,12,3,2,4,
5,1,5,3,4,1,
6,1,3,2,0,0,
7,0,4,0,3,1,
8,2,3,1,4,1,
9,2,5,0,2,1,
10,4,1,0,0,2,
11,2,1,1,0,1,
12,2,3,1,1,0,
13,0,0,0,0,0,
14,1,2,5,2,2,
15,3,4,3,1,0,
16,0,6,1,3,2,
17,1,2,1,0,0,
18,0,4,0,3,1,
19,0,0,0,0,0,
20,2,3,1,3,0,
21,0,0,0,0,0,
22,0,2,0,0,0,
23,0,2,0,0,0,
24,0,2,0,0,0,
25,0,2,0,0,0,
26,1,1,0,0,0,
27,1,1,0,0,0,
28,1,1,0,0,0,
29,1,1,0,0,0,
30,1,1,0,0,0,
31,1,1,0,0,0,
32,1,1,0,0,0,
33,1,1,0,0,0,
34,1,1,0,0,0,
35,1,1,0,0,0,
36,1,1,0,0,0,
37,1,1,0,0,0,
38,1,1,0,0,0,
39,1,1,0,0,0,
40,1,1,0,0,0,
41,1,1,0,0,0,
42,1,1,0,0,0,
43,1,1,0,0,0,
44,1,1,0,0,0,
45,1,1,0,0,0,
46,1,1,0,0,0,
47,1,1,0,0,0,
48,1,1,0,0,0,
49,1,1,0,0,0,
50,0,2,0,0,0,
51,2,1,1,1,0,
52,0,3,0,0,1,
53,19,33,18,14,6,
54,140,240,127,122,42,
55,68,95,54,54,22,
56,36,63,30,30,12,
57,59,101,45,39,14,
58,35,60,31,34,17,
59,35,62,33,34,9,
60,37,49,25,30,9,
61,17,17,6,7,3,
62,2,3,1,3,1,
63,1,0,0,1,0,
64,0,2,0,0,0,
65,2,1,1,1,0,
66,2,1,0,0,0,
67,25,36,9,18,3,
68,119,178,90,118,45,
69,49,77,45,41,15,
70,130,241,132,123,49,
71,42,62,29,36,10,
72,68,89,57,79,31,
73,22,61,18,36,15,
74,2,3,1,3,1,
75,1,1,0,2,0,
76,0,2,0,0,0,
77,2,1,1,1,0,
78,0,0,0,0,1,
79,1,2,1,0,0,
80,65,69,34,42,10,
81,19,30,15,15,6,
82,11,15,4,7,5,
83,17,42,10,15,7,
84,3,9,7,4,6,
85,0,0,0,0,0,
86,0,2,0,0,0,
87,2,1,1,1,0,
88,0,0,0,0,2,
89,13,18,8,14,4,
90,25,35,15,19,8,
91,52,68,37,43,18,
92,21,34,22,16,7,
