Stations, Start, End 
"gaywood  street, elephant & castle",189,170
"york way, kings cross",233,230
"argyle street, kings cross",688,627
"guilford street , bloomsbury",290,290
"fisherman's walk west, canary wharf",151,136
"preston's road, cubitt town",109,111
"finlay street, fulham",174,160
"penywern road, earl's court",192,192
"waterloo station 1, waterloo",703,588
"normandy road, stockwell",155,159
"gas holders, battersea park",351,355
"battersea church road, battersea",211,185
"british museum, bloomsbury",284,291
"old street station, st. luke's",527,519
"st. mark's road, north kensington",109,105
"belford house, haggerston",44,51
"northumberland avenue, strand",176,238
"queen victoria street, st. paul's",198,215
"cloudesley road, angel",174,118
"wellington arch, hyde park",280,291
"harriet street, knightsbridge",184,189
"ada street, hackney central",165,176
"liverpool road (n1 centre), angel",295,308
"central house, aldgate",322,310
"swan street, the borough",162,176
"new road 1 , whitechapel",289,264
"stepney green station, stepney",315,323
"hereford road, bayswater",169,150
"west kensington station, west kensington",125,117
"clerkenwell green, clerkenwell",198,204
"bath street, st. luke's",290,286
"queen mary's, mile end",319,315
"belvedere road 2, south bank",158,149
"tanner street, bermondsey",219,253
"red lion square, holborn",129,127
"st. bride street, holborn",161,166
"brushfield street, liverpool street",536,684
"blackfriars station, st. paul's",373,401
"vincent square, westminster",89,111
"ashley place, victoria",201,237
"pitfield street central, hoxton",210,190
"millbank tower, pimlico",200,206
"finsbury library , finsbury",147,127
"islington green, angel",360,340
"cleveland way, stepney",306,284
"harford street, mile end",151,159
"westfield library corner, shepherd's bush",140,143
"everington street, fulham",146,137
"chicheley street, south bank",321,327
"serpentine car park, hyde park",354,363
"tooley street, bermondsey",526,541
"wormwood street, liverpool street",604,608
"castlehaven road, camden town",243,239
"great suffolk street, the borough",159,167
"russell square station, bloomsbury",242,249
"bonny street, camden town",260,236
"thorndike close, west chelsea",135,130
"upcerne road, west chelsea",108,107
"aquatic centre, queen elizabeth olympic park",172,197
"hop exchange, the borough",674,773
"battersea park road, nine elms",555,540
"whitehall place, strand",371,412
"south bermondsey station, bermondsey",97,106
"bell lane, liverpool street",230,244
"langdon park, poplar",77,74
"windsor terrace, hoxton",176,180
"gascoyne road, victoria park",117,124
"rathbone street, fitzrovia",128,120
"doddington grove, kennington",164,161
"dorset square, marylebone",299,299
"bell street , marylebone",204,199
"the vale, chelsea",192,180
"ram street, wandsworth",188,176
"jubilee plaza, canary wharf",266,302
"st. john's park, cubitt town",50,53
"margery street, clerkenwell",122,100
"buxton street 1, shoreditch",52,60
"st martins close, camden town",80,78
"ormonde gate, chelsea",151,142
"parsons green station, parsons green",205,190
"cleveland gardens, bayswater",123,114
"charlotte terrace, angel",111,90
"hampstead road, euston",333,339
"handyside street, king's cross",249,259
"wright's lane, kensington",303,329
"crisp road, hammersmith",173,169
"hortensia road, west brompton",155,144
"bruton street, mayfair",120,111
"collingham gardens, earl's court",188,180
"lower marsh, waterloo",163,155
"sedding street, sloane square",270,269
"crosswall, tower",422,433
"stanhope gate, mayfair",115,130
"grosvenor road, pimlico",135,140
"kingsway southbound, strand",243,374
"golden square, soho",270,276
"belgrave road, victoria",210,236
"west smithfield rotunda, farringdon",261,275
"pennington street, wapping",136,145
"tate modern, bankside",18,36
"beryl road, hammersmith",218,230
"normand park, west kensington",228,215
"victory place, walworth",122,91
"alpha grove, millwall",108,108
"globe town market, bethnal green",172,187
"chrisp street market, poplar",97,90
"baldwin street, st. luke's",179,193
"clifton street, shoreditch",113,128
"farringdon lane, clerkenwell",135,142
"berry street, clerkenwell",194,185
"drury lane, covent garden",335,322
"eversholt street , camden town",138,156
"kensington church street, kensington",209,182
"palace gardens terrace, notting hill",244,187
"aintree street, fulham",202,205
"endsleigh gardens, euston",263,265
"warren street station, euston",503,502
"bromley high street, bow",116,107
"butler place, westminster",172,162
"simpson street, clapham junction",199,210
"concert hall approach, south bank",154,156
"baker street, marylebone",200,225
"hoxton street, hoxton",117,96
"wardour street, soho",285,276
"brick lane market, shoreditch",147,154
"fashion street, whitechapel",161,180
"upper bank street, canary wharf",249,253
"aberfeldy street, poplar",50,45
"montpelier street, knightsbridge",242,248
"malet street, bloomsbury",455,419
"bow road station, bow",178,160
"mostyn grove, bow",138,123
"king edward walk, waterloo",52,47
"russell gardens, olympia",89,86
"greyhound road, hammersmith",181,197
"barons court station, west kensington",218,197
"borough road, elephant & castle",190,174
"shoreditch court, haggerston",125,106
"allington street, victoria",489,486
"bayswater road, hyde park",320,261
"leman street, aldgate",296,263
"turquoise island, notting hill",147,150
"dorothy road, clapham junction",152,158
"queen mother sports centre, victoria",207,216
"hinde street, marylebone",257,286
"orbel street, battersea",144,123
"north audley street, mayfair",208,203
"bolsover street, fitzrovia",206,229
"little brook green, brook green",132,127
"parson's green , parson's green",200,215
"bonner gate, victoria park",168,161
"bow church station, bow",172,163
"lmu commercial road, whitechapel",193,198
"cheshire street, bethnal green",154,149
"park lane , hyde park",235,237
"crabtree lane, fulham",153,138
"putney bridge station, fulham",101,90
"sandilands road, walham green",178,175
"emperor's gate, south kensington",220,220
"humbolt road, fulham",142,135
"vauxhall bridge , pimlico",113,123
"guildhouse street, victoria",156,139
"shouldham street, marylebone",148,127
"drummond street , euston",113,103
"waterloo bridge, south bank",116,127
"gauden road, clapham",201,215
